事件編號,事件等級,事件標題,描述文字,選項,造成結果,授課成功度增減,教室氛圍度增減,教師威望,"事件等級為""緊急""專用 -> 事件校準失敗時的後果"
6,普通,時間就是...,粉筆用完了你已經請同學去拿這段空白時間要做什麼,立刻辭職,學生感到不知所措,,,,
7,中等,我不會 > <,隨堂考試中突然有人崩潰大哭,跟著一起哭,哭泣的學生震驚的望著你,2,-4,-4,
7,中等,我不會 > <,隨堂考試中突然有人崩潰大哭,請教官帶他到醫務室,學生不情願地走了,6,4,5,
7,中等,我不會 > <,隨堂考試中突然有人崩潰大哭,請他不要影響其他還在考試的同學,學生努力憋住啜泣聲,2,2,4,
8,普通,我不會...,點名提問的學生不發一語,「你不說話我也不說」,學生看起來快急哭了,-2,-2,4,
8,普通,我不會...,點名提問的學生不發一語,引導他說出答案,學生感激的看著你,6,8,4,
8,普通,我不會...,點名提問的學生不發一語,改問其他同學,學生尷尬的坐下了,6,2,4,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,解釋課程與個人經歷的聯繫,學生覺得你講課好無聊,2,2,-2,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,「班上不能出現你這個無關的人🤡」,引起全班轟堂大笑,4,6,-8,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,「對不起對不起我以後不講無關事務✋️😭✋️」,學生覺得你沒有老師的樣子,2,2,-3,
9,中等,罵的好髒,分享個人經歷時被學生說上課不要提無關事物,「你沒有人生嗎？」,學生幾度想開口回嘴但無話可說 ,2,4,-2,
10,緊急,想拉屎,你在上課時發現一股內部的力量直衝下三路,向學生通知自己要去上廁所,「真舒服😋」,-2,-2,2,沒憋住.......
10,緊急,想拉屎,你在上課時發現一股內部的力量直衝下三路,憋著 從站著上課改為坐著,有機會拉在褲子上…,-4,2,-2,不太妙....
10,緊急,想拉屎,你在上課時發現一股內部的力量直衝下三路,拉在........,啊？真要這樣做？,-4,2,-4,沒拉出來......
11,緊急,不對！,你講課時有學生反應你講錯了,向學生道謝並改正,勇於承認錯誤 自己+10000,6,4,10,向學生道謝並不改正
11,緊急,不對！,你講課時有學生反應你講錯了,向題目道謝並要求同學改正,建立題目自信心,4,4,-6,建立題目信心失敗
11,緊急,不對！,你講課時有學生反應你講錯了,向學生道謝回家躲在被窩裡窩囊的哭,自尊心-100,6,4,-2,你在課堂上紅了眼眶
12,特殊,何移位,你專心的上課一回頭發現有學生連同桌椅移到門口了,何移位？,你發自內心的提問被當諧音梗人傳人,4,6,4,
12,特殊,何移位,你專心的上課一回頭發現有學生連同桌椅移到門口了,「去後面站著！！！」,學生不屑的走到後面站著,2,-4,4,
12,特殊,何移位,你專心的上課一回頭發現有學生連同桌椅移到門口了,站在他們移動到的門口繼續講課,引起全校注意,-6,-4,-2,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,繼續講課,課程進度正常執行,-4,2,-2,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,提問課程中的知識,無人問津,2,-2,2,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,小發雷霆,稍微有些學生會理你了,4,2,4,
13,普通,真正的心寒...,你非常認真授課卻沒有學生理你,立刻辭職,這個學校從此失去了一個無關緊要的老師😌,,,,
14,普通,眼睛瞎在....,學生組隊玩手機,沒收手機並處分,學生似乎神遊天外,2,4,2,
14,普通,眼睛瞎在....,學生組隊玩手機,把講桌移到他們面前上課,學生緊張的玩著手機,-2,-4,2,
14,普通,眼睛瞎在....,學生組隊玩手機,講述在正確的時間做正確的事的重要性,學生不耐煩的收起手機聽講,2,4,4,
15,緊急,怎麼？偷走了你的...,學生嗆你是薪水小偷,走到學生旁邊叫他去講課自己坐他位置,學生在台上不知所措 但教導主任在盯著你,-6,-2,8,學生走上台表演你上課的樣子 台下哄堂大笑
15,緊急,怎麼？偷走了你的...,學生嗆你是薪水小偷,「就是因為有他這種學生肆意揣測亂講所以才只能完全只上課本」,學生閉嘴了但明顯不服,2,4,4,你和學生吵了起來
15,緊急,怎麼？偷走了你的...,學生嗆你是薪水小偷,「既然大家覺得我上課沒什麼內容那我們來個隨堂考試吧」,收穫怨聲載道的學生一群,6,2,8,學生因此開始密謀揭竿起義 史稱水小(滖小)事變
16,特殊,陵園購？,剛上課時你看到黑板上被人寫老師之墓,責備學生不懂尊重死亡,學生覺得你很low,4,-4,-6,
16,特殊,陵園購？,剛上課時你看到黑板上被人寫老師之墓,科普墓碑的意義與糾正學生錯誤的寫法,帶頭的學生有了新綽號,6,-2,4,
16,特殊,陵園購？,剛上課時你看到黑板上被人寫老師之墓,「老師有墓 那誰沒有墓呢？」,教室安靜的詭異  看來學生們並不覺得好笑,-4,-6,-4,
17,緊急,Pokemon？GO ！,學生在上課時偷跑出教室,出去抓回來,收容成功  :),-4,4,4,捕捉失敗  :(
17,緊急,Pokemon？GO ！,學生在上課時偷跑出教室,讓學生叫他回來,還有代肝0.o,-4,4,6,捕捉失敗  :(
17,緊急,Pokemon？GO ！,學生在上課時偷跑出教室,放生他 繼續上課,學生帶著零食回來了,2,-4,2,學生被其他老師抓回來了
